郑重	审慎,庄严,把稳,认真,隆重,谨慎,慎重,庄重
挫折	失败,打击,曲折,波折,阻碍
巧妙	奇妙,精巧,高明
视同一律	等量齐观,一视同仁
后世昆裔	子息
枉顾	枉驾,劳驾,屈驾
慌慌张张	丢魂失魄,急急忙忙,失魂落魄,急急巴巴,魂不附体,快快当当,慌手慌脚
右侧	右边
边疆	边陲,边境
冷傲	冷艳
爬下	趴下
发怒	发火,愤怒,生气
骄子	宠儿
默默无闻	无名小卒,寂寂无闻,没没无闻,无声无息
踽踽独行	举目无亲
太古	上古,旷古,泰初,远古,邃古
改换	更改,变动,变换,变更,改动,改变,更换,调换,转换
万事亨通	吉祥如意
排泄	分泌,渗出
突飞猛进	与日俱增,日新月异,一日千里,一飞冲天
蠕动	蠢动,爬动
直肚直肠	心直口快
发急	着急,心焦,焦心,焦急,焦灼,焦炙,焦虑,焦躁,恐慌,慌张
左迁	降级
确切不移	千真万确
悔怨	后悔,怨恨,懊恼,悔恨,懊丧,懊悔
犯法	犯科,坐法,犯罪,违法,违警
左近	相近,邻近,附近
喧华	吵闹,嘈吵,嘈杂
厚交	深交,知交
展望	瞻望,预测,预计
展期	延期,缓期
病入膏肓	无可救药,不可救药
壮健	矫捷,健壮,健康,健旺,康健,强健,强壮,矫健
绚烂	奇丽,富丽,灿烂,烂漫,瑰丽,璀璨,绚丽,绮丽,艳丽,辉煌,鲜丽,鲜艳,残暴,辉煌光耀,秀丽
瞩目	夺目,属目,注目,注视,注意
景物	光景,景致,景色,景象,风景,风物,风光
出乎预料	出人意料,出乎意料
齿豁头童	老态龙钟,返老还童
泛起	出现
内服	外敷
的确	切实,实在,确凿,确切,确实,切实其实,简直,实在是高
妙语解颐	妙语连珠
提神	小心,留心,防备
废除	作废,取消,取缔,取销,废止,排除,撤废,撤消,撤销,破除,解除,铲除,废弃,拔除,拆除,清除,根除,捣毁,打消
命根子	命脉
挑唆	唆使,指使,挑拨,搧动,教唆,调唆,调拨
撕开	扯开
节录	选录
降落	下降,着陆,降下
八、	8、
划子	小船
经年累稔	经年累月
片面	单方面,部分,局部,单方
感冒	伤风
慈眉善目	和蔼可亲
惩办	惩治,责罚,处分,处罚,惩处,惩罚
随着	跟着
大盗	悍贼,暴徒
兵连祸结	兵荒马乱,多事之秋
形状	式样,形态,样子,外形
手足同心	同气连枝
强抢	侵占,侵夺,侵掠,劫夺,劫掠,打劫,抢劫,抢夺,抢掠,掠夺,掳掠,洗劫
罹难	蒙难,遇害,遇难,遭殃,遭灾
遥不可及	高不可攀
冷炙	残,残羹,馂余
恍如	仿佛
暗无天日	惨无天日,昏天黑地,天昏地暗,豺狼当道,漆黑一团
结局	下场,收场,终局,结束,结果,了局,完结
太低	过低
本籍	原籍,祖籍
茅塞顿开	恍然大悟,如梦初醒
严密	严实,严谨,周到,周密,周详,慎密,精细,紧密,细密,缜密,邃密,精密,严紧
喜从天降	喜出望外
严寒	严冬,冰冷,寒冬,寒冷,极冷,酷寒,阴寒
屠杀	杀戮,残杀,屠戮,搏斗
改善	改良,改观,改进,改正
书画	字画
今天不日	克日
伧夫俗人	凡夫俗子
占据	占有,占领,攻陷,盘踞,霸占,攻克
书生	墨客,文士,文人
跪拜	膜拜
移东补西	截长补短
欺贫爱富	嫌贫爱富
凋落	凋谢,凋零,枯萎,死亡,残落,衰落,退步,雕残,雕零,零落,雕谢
志在千里	志在四方
游移	夷由,彷徨,犹豫,踌躇,迟疑
不舍昼夜	夜以继日
屋宇	房屋,房屋结构
中伤	毁谤,离间,诋毁,诬蔑,诽谤,造谣,伤害
鸡飞狗跳	鸡犬不宁,鸡飞狗走
大智若愚	深藏若虚,大巧若拙
恰如私愿	正中下怀
人尽其才	量才录用
捣鬼	作怪,捣乱,捣蛋,破坏
主犯	正犯,首犯
开禁	弛禁
无邪	天真
歪缠	瞎闹,胡闹
深秋	暮秋
闭户读书	闭门读书
帐蓬	帐幕,帷幕
救兵	援军
安富尊荣	荣华富贵
陷溺	沉迷
脆而不坚	华而不实
自惜羽毛	爱惜羽毛
奔驰	飞驰,奔腾,奔跑,疾驰,驰骋
揭破	戳穿,揭发,揭示,揭穿,揭露,暴露
仓遑	仓惶
品质	质量,品德,品格
手杖	拐杖
表演	演出,献技,献艺,扮演
颜料	颜色
茅屋	茅舍,草屋
干爹	寄父
随遇而安	与世无争,能屈能伸
长期	恒久,长久,长远,历久,持久,长时间,永久,永远的痛,永远,永恒
如期	依期,准期
浓妆	浓艳,艳妆,盛饰
开口	启齿
投军	从军,从戎,当兵,执戟
祝福	庆贺,祈福,祝愿
如有	若有
漫道	慢道
贤达	贤能,贤良
深情厚谊	深情厚意,情同手足,一往情深
开发	兴办,启迪,建立,建设,开垦,开拓,开荒,开辟,开采,拓荒,斥地
失踪	失落
奇谈怪论	胡言乱语,不经之谈
嘴脸	容貌,相貌,脸孔,面孔,面容,面庞,面目,面貌
雄姿	英姿,伟貌
目不窥园	专心致志
弃置	弃捐,搁置
佼佼不群	鹤立鸡群
浸染	劝化,陶染,感化
出入	收支,进出,相差
如影随行	形影不离
纲要	大纲,提纲,提要,摘要,概要,纲目,纲领,原则
退换	更换,更调,调换
合资	合伙,合股
出兵	兴兵,兴师,出师,发兵
外皮	外表
绘图	画图
有问必答	一问一答
擎天一柱	砥柱中流
回复青春	反老回童
垂馨千祀	流芳百世
雍塞	阻塞,梗塞,阻滞
如意算盘	一厢情愿
矜持	自持
怒气冲天	怒火中烧,怒不可遏,怒形于色,怒发冲冠,怒火万丈,拊膺切齿
坑绷拐骗	坑蒙拐骗
弹琴	奏琴,抚琴
妖冶	妖娆,明媚
骗局	圈套
活扣	活结
恰当	妥当,伏贴,适合,适当,妥帖,稳当,安妥,妥贴,适宜,稳妥,得当,允洽,妥善
凋谢脱落	凋零
襟曲	心曲
水土不服	不服水土,不伏水土
亏弱	薄弱
陨涕	哭泣
私相授受	秘密交易
点缀	修饰,粉饰,装点,装饰
情素	情愫
可笑	好笑
豆蔻年华	及笄年华,含苞欲放,黄金时代,含苞待放
赐顾帮衬	照顾
会聚	汇聚,聚集,集聚
赏赐	奖励,奖赏,恩赐,犒赏,给与,授与
恶毒	奸诈,奸险,恶劣,狠毒,阴恶,阴毒,阴险,险诈,歹毒,凶恶,凶险
松懈	懈弛,朽散,松弛,松散,涣散,缓和
奉公守法	安分守己,克己奉公,循规蹈矩
若何怎样	奈何
胳肢窝	夹肢窝
头号	头等
疾足先得	捷足先登
交战	打仗,开仗,比武,交兵,交手,交锋,作战,兵戈,开战,开火,征战,战争,构兵,干戈
犹豫不定	举棋不定
误会	误解
告密	告发,密告
蜻蜓点水	浮光掠影,走马观花,轻描淡写
QQweb。Org腾讯qq游戏	qq游戏
贱视	卑视,蔑视
早先	开始,当初,最先,起先,起初,起首
自讨苦吃	自寻烦恼,自作自受
配房	厢房
风雅	大方,大雅,雅致,高雅,精致
稀世	希世
七手八脚	手忙脚乱,手足无措
入侵	侵犯
激辩	舌战
杂乱无章	乱七八糟,参差不齐,横七竖八,七零八落,乌七八糟,颠三倒四,七颠八倒,杯盘狼藉
赡养	抚养,供养,养活,奉养,抚育,扶养
盘根错节牵丝挂藤	千丝万缕
平易近	民
聪明才智	聪明智慧
忍让	谦让
轻重缓急	缓急轻重,抑扬顿挫
遇难	罹难,遇害,遭殃,遭灾
混闹	胡闹,瞎闹
娴熟	流利,熟悉,熟练,纯熟
压缩	收缩,紧缩
尽心竭力	一丝不苟,精益求精,不遗余力,竭尽全力
一臂之力	助人为乐
随从	扈从,跟从,侍从,追随,尾随,跟班,跟随,随同
批驳	反驳,回嘴,批判,批评,评论,辩驳,驳倒,驳斥,褒贬,反对,指摘
寸阴若岁	一日三秋
负屈	抱屈
自信	自傲,自大
母财	母钱
爬泳	自由式泳法
机关	圈套,坎阱,组织,陷阱,构造,陷坑
眉来眼去	暗送秋波
刺骨	澈骨,透骨,砭骨
自信心	信心
包容	容纳,宽恕,海涵,包涵,原宥,原谅,宽容,见谅,谅解,饶恕
虽然说	虽说
热乎乎	热烘烘,暖洋洋,热呼呼
芳泽	芗泽
窈窕淑女	沉鱼落雁,小家碧玉
冒昧	冒失,卤莽,唐突,粗莽,莽撞,造次,轻率,粗鲁
饮鸠止渴	杀鸡取卵
漏电	泄电,走电
四通八达	七通八达
花狸狐哨	花里胡哨
时事	局势,时局,时势
江中钓月	海底捞针
传染	感染,沾染,习染
直率	坦率,坦白,坦直,爽快,爽直,率直,直爽
焦头烂额	头破血流
坚如磐石	雷打不动,安如泰山,安如磐石,固若金汤,坚不可摧,牢不可破
大亨	富翁,财主
罗致	招揽,汲取
进犯	侵占,侵害,侵犯,侵略,攻击,袭击,进击,进攻,抨击打击
依违两可	翻云覆雨,反复无常
耀武扬威	眉飞色舞,无法无天,张牙舞爪,得意忘形,飞扬跋扈,为非作歹,不可一世,高视阔步,横行霸道,趾高气扬,作威作福,胡作非为,垂头丧气
纲举目张	提纲挈领
年幼无知	乳臭未干,少不更事
刹时	瞬间,瞬时
零星	零散,零碎,细碎,琐细
呵斥	叱责,指谪,指责,斥责,谴责,责备,责问,责骂,呵责,呵叱
特别	万分,出格,分外,十分,奇特,尤其,希罕,异常,更加,极端,格外,特出,特殊,独特,稀奇,突出,非常,额外,希奇,迥殊,特地,极度,专程
重叠	堆叠
不得要领	茫无头绪,不痛不痒,博士买驴,隔靴搔痒,不知所云
偿还	归还,清偿,了偿
养育	哺育
天子	皇帝
金科玉律	清规戒律,天经地义,至理名言,理所当然
违背	背离,违反,违抗,违犯
饱暖思淫欲	饱暖生淫欲
深奥	深邃,难解,高深,艰深,深沉
可耻	羞耻,耻辱
定义	界说
出席	列席,到场,参与,参加,参预
耳听八方	眼观六路
偕行	同行
酒菜	筵席,酒席
难明	难解,难懂
股份有限公司	株式会社
陶然	欣然,怡然,欢然
相辅相成	相得益彰,相反相成
寒战	寒颤,哆嗦,寒噤,战抖,战栗,觳觫,颤抖
甲等	一级,优等,头等
出师	出兵,兴兵,兴师,发兵
陶猗之富	邓通之财
文房四宝	纸墨笔砚
冒失	莽撞,冒昧,卤莽,大意,玩忽,疏忽,粗莽,草率,轻率,马虎,鲁莽
关怀备至	嘘寒问暖,体贴入微
洋溢	弥漫
本人	自己
兴师	出兵,出师,兴兵,发兵
闪光	闪动,闪灼,闪烁,闪耀
怒潮	狂潮
元凶	罪魁,首恶
互相	彼此,相互
本事	伎俩,工夫,手段,手腕,才干,才能,技术,技能,技艺,本领,能力,能耐,身手,方法
悭吝	吝啬,吝惜,小器,小气,鄙吝
捉刀	代笔
公证人	评判人
一盘散沙	孤掌难鸣,人心涣散,乌合之众
断梗飘萍	四海为家,到处为家
滋味	味道
联翩而至	接踵而至
饥不择食	狼吞虎咽,慌不择路,寒不择衣
欣然	陶然,怡然
拜谒	探问,访问,拜会,拜候,拜望,拜见,拜访,探望,探访,看望
愉快	欢腾,雀跃,乐意,喜悦,夷愉,开心,快乐,快活,忻悦,怡悦,欢乐,欢喜,欢娱,欢快,欢欣,欢畅,欢跃,欣喜,欣忭,痛快,高兴,兴奋,舒畅
才高气傲	恃才傲物,目空一切
夸奖	嘉奖,嘉勉,奖赏,夸赞,赞许,称誉,称道,颂扬,赞赏,夸耀,颂赞,赞扬,赞誉,讴歌,赞美,称扬,歌颂,表彰,称颂,表扬
修缮	修理,修葺,缮治,补葺
操之过急	急于求成,稳扎稳打
目无流视	目不邪视
加重	加剧
首次	初度,初次
狡猾	刁滑,刁狡,刁猾,嚚猾,圆滑,奸刁,奸巧,奸滑,奸狡,奸诈,奸险,巧诈,机诈,桀黠,油滑,狡诈,狡黠,阴险,险诈,狡滑,调皮
故意	存心,成心,有心,有意,蓄意,蓄谋,居心,蓄志
散逸	散发,闲逸,散佚,懈怠,懒散
黎黑	黧黑
冥器	明器
混淆黑白	混淆视听,指鹿为马,混淆是非,颠倒是非,颠倒黑白,不分青红皂白
沧海一粟	寥寥可数,九牛一毫,九牛一毛,牛之一毛
设计	安排,打算,策画,计划,设想
大德	盛德
鼓破万人捶	墙倒众人推
肆业	修业
速率	速度
昏暗	幽暗,晦暗,暗淡,灰暗,阴晦,阴暗,阴森,阴沉,黑暗,黯淡,惨淡,阴郁
翻然	幡然
分辩	区别,分辨,辨别,辩白,辩解,分说,分辨是非,辨别是非
分辨	区别,分辩,分别,区分,辨别,辨别是非
范例	典型,典范,样板,榜样,类型,典范榜样,规范,表率,楷模
横眉	怒目,瞋目
昏暴	昏庸,昏聩
奈何	怎么,若何怎样,怎样,若何,何如,如何是好,如何
比武	交战,交手,交锋
没有将	未将
仳离	离婚,离异
自制	克己,便宜
构思	构想
佳偶天成	嘉偶天成
所嫁非人	遇人不淑
丢魂失魄	慌慌张张,魂不附体,失魂落魄
自创	借鉴
耐烦	耐心,耐性
如雷贯耳	闻名遐迩,名满天下,如雷灌耳
开销	开支,支出,支拨,开消
突起	崛起
临别赠言	临别赠语
构怨	结怨,树敌,成仇
独树一帜	标新立异,自成一家,别树一帜
无边无际	一望无际,无边无涯
妄为	放肆
企求	希求,期求,祈求
极尽描摹	淋漓尽致
有所顾忌	投鼠忌器
守口如瓶	张口结舌,讳莫如深,默不作声,一诺千金,默默无言,噤若寒蝉,言必有据,沉默寡言,缄口不言,三缄其口,缄舌闭口,避而不谈
失礼	失仪,无礼
挂彩	负伤,挂花
含糊其词	闪烁其词,模棱两可,转弯抹角
菲林	胶卷
求之不得	梦寐以求
凑近	靠近
昭示	明示
迫临	逼近
水长船高	水涨船高
怕羞	腼腆,含羞,害羞,害臊
裁缝	成衣
试试	尝尝
杀绝	扑灭,灭绝,歼灭
立足之地	立锥之地,安身之地
见微知著	原始见终,独具只眼
颜面	体面,面子
霸术	机谋,权术
捣乱	捣鬼,扯后腿,拆台,捣蛋,作怪,扰乱
富裕	富余,宽绰,充实,充沛,充盈,充裕,充足,宽裕,富有,富足,富饶,豪阔,阔气,阔绰,敷裕,充分,余裕
天衣无缝	浑然一体,完美无缺,十全十美,滴水不漏
一丘之貉	半斤八两,难兄难弟,泾渭分明,全无分别,难史难弟,狼狈为奸,一路货色
窘境	困境,逆境
正人	君子
天愁地惨	鬼哭神号
患有	得了
目的	宗旨,目标,方针
半晌	一会,俄顷,少焉,少间,少顷,片刻,片时,片晌,顷刻,须臾
整日	全日,成天,整天,终日
胆大	胆小
典质	抵押
得意洋洋	自命不凡,自鸣得意,八面威风,意得志满,洋洋自得,洋洋得意,心满意足,得意忘形,称心如意,眉飞色舞,趾高气扬,踌躇满志,手舞足蹈,喜气洋洋
忠告	忠言,规戒,规谏,警告,针砭箴规
地位	位子,位置,名望,身分,职位,职位地方
供词	口供
邈远	渺远
和	以及
完全	一概,全数,全部,十足,完备,完好,完整,绝对,统统,齐全,彻底,全豹,通盘,一切,全盘,一律,齐备,所有
器宇轩昂	气宇轩昂
公耳忘私	大公无私,舍己为人
去头去尾	掐头去尾
渗出	排泄,渗透
作工	做事,工作
煊赫	显赫
两姓之好	秦晋之好
收尾	扫尾,结尾
生离死别	劳燕分飞
垮台	倒台,坍台,塌台,完蛋
网开一面	宽大为怀,网开三面
鸡鸣狗盗	旁门左道,鼠窃狗偷,鼠窃狗盗
锤炼	磨炼,磨练,锻炼
欲罢不能	骑虎难下,不能自休
盟军	友军
微时之交	布衣之交
抄录	抄写,缮写
作秀	做秀
当前	今朝,刻下,如今,方今,此刻,现在,现时,目下,目今,目前,眼前,而今
素昧平生	素不相识
文官	文臣
身心交病	心力交瘁,身心交瘁
文定	订婚
剧烈	强烈,激烈,猛烈
强壮	壮健,健壮,健硕,厚实,壮大,壮实,康健,强健,强大,强盛,强硬,矫健,结实,雄壮,魁梧,健旺
经验	履历,经历,阅历
中午	午时,正午,半夜
磅礴	澎湃
协议	订定合同,协定,和谈,左券,条约,合同,公约
践踏糟踏	残害
不留余地	不动声色,竭泽而渔,杀鸡取卵
东歪西倒	东倒西歪,横七竖八
白壁微瑕	大醇小疵
清理	整理,算帐,清算
毛病	坏处,差错,弊病,弊端,弱点,故障,欠缺,漏洞,瑕玷,瑕疵,症结,短处,纰谬,缺欠,缺点,缺陷,舛误,舛错,谬误,过失,错误,偏差,过错
可人	可儿
袪除	扑灭,肃清,消除,湮灭,消弭,淹没,消释,毁灭,解除,歼灭,消亡,消逝,排除,消灭,扫除
五光十色	五彩缤纷,五颜六色,五花八门
燕服	便服
倦怠	疲倦
挂记	挂心
立竿见影	吹糠见米,空谷传声
把玩	戏弄,玩弄
旁征博引	引经据典
衡量	掂量,权衡,量度
显目	显眼
登载	刊载,刊登
枝杈	枝叶
紧锣密鼓	密锣紧鼓
目即成诵	过目成诵
气昂昂	雄纠纠,雄赳赳
喽啰	走卒,走狗,草头神,喽罗
步卒	步兵
德行	品德,德性,道德
盘查	查问,查询,盘诘,盘问,究诘
左券	公约,协议,契约,条约
老少无欺	童叟无欺
气候	天气,天色,气象
搜检	搜查,查抄,检查,检验
飘摇	飘飖
忠肝义胆	赤血丹心
呼朋唤友	呼朋引类
鸠集	群集,聚会,聚合,聚积,聚集,集合,集结,齐集,纠集,集中
平凡	寻常,平常,平庸,平淡,庸俗,普通,等闲,泛泛
互换	交换,调换,换取
委宛	宛转,委婉
事出有因	理所当然,无缘无故
委实	实在,着实,确实,委的,实在是高
离心离德	背信弃义,尔虞我诈,朝秦暮楚,各行其是,明枪暗箭,同床异梦,钩心斗角,明争暗斗,分崩离析
知遇之恩	恩光渥泽
相机行事	待时而动,见风使舵,量体裁衣,看风使舵,见机而作,随机应变,见缝插针
金钱	款项,款子
隐瞒	保密,包庇,包藏,掩盖,掩饰,瞒哄,蒙蔽,遮掩,遮盖,遮蔽
宏儒硕学	博学多才
源源不断	连绵不断,源源不绝
奉求	拜托,请托
而至	所致
遥遥领先	一马当先
人中表表	铁中铮铮
一差二错	一念之差
往后	今后,从此,以后,此后,日后,以来
长于	善于,擅长
夹攻	夹击
星火燎原	星星之火,水滴石穿,燎原之火
景遇	景况,状况,情形
勘探	勘察,勘测
查看	察看,巡视,查察,检察,检查,观察
浮躁	急躁,暴躁,浮夸,烦躁,焦躁,躁急
呶呶不休	喋喋不休,侃侃而谈
刁钻	刁滑,刁顽
优柔	柔嫩,柔软
凤凰来仪	凤皇来仪
顺路	顺道
冷艳	冷傲,惊艳
神气十足	神气活现
法衣	僧衣,袈裟
正经	严肃,庄严,庄重,正派,端庄,规矩,端正,肃穆
铁树开花	大海捞针
庸俗	平凡,俗气,卑俗,粗俗,鄙俗,鄙俚,卑鄙
摄影机	开麦拉
正统	正宗
借势	借重
圈套	骗局,机关,坎阱,罗网,陷坑,陷阱
家当	资产,产业,家产,财产,财富,物业
瓦解	分化,分裂,分解,割裂,崩溃,破裂,解体,决裂,分割
失魂鱼	冒失鬼
情形	景遇,境况,情况,情景,情状,景况,景象,状况
拂拭	扫除,清扫,清除
眺望	了望,远望,远眺,瞭望,遥望
鸳侣	佳偶,伉俪,夫妇,夫妻
数不胜数	不一而足,举不胜举,不可胜数,不计其数,不胜枚举,更仆难数,星罗棋布,恒河沙数,擢发难数
亲信	心腹,知己
从军	投军,服役,入伍,从戎,参军,当兵
含污纳垢	藏垢纳污
毂击肩摩	车水马龙
下野	离职,辞职
事件	事情,事务,事宜,变乱,事变,事项,事故
想想	想一想
7、	七、
示范	演示,树模
胡说	乱说,瞎扯,瞎说,胡扯
头头	首领,头子,头目,主脑
不及	不足,不迭
朴素	俭朴,俭省,俭约,朴实,朴质,简朴,素净,节俭,质朴,节约
不变	稳定
塞责	唐塞,应付,搪塞,支吾,草率,敷衍
凡间	世间,人世,人间,尘世,尘寰,红尘,阳间,尘间
物色	寻找,寻求,寻觅,找寻,探求
不只	不仅,不但,不光,不单
不可	不行,不成,弗成
胡诌	扯谈
立足	容身,存身,安身,驻足,藏身
厉害	犀利,凶猛,利害,锋利,凶横,强横
职责	任务,使命,工作,职分,职司
致谢	伸谢,叩谢,申谢,称谢,道谢
整治	整顿,整饬
黯淡无光	暗淡无光,黯然无光
同样成	也成
怅惜	怅惋
怅惘	怅然,惆怅,惘然,迷惘,惋惜
抖擞	振作,旺盛,焕发,奋起,感奋,振奋
怅惋	怅惜
起用	升引
精益求精	尽心竭力,千锤百炼,一丝不苟,诚心诚意,字斟句酌,不断改进,锦上添花
伤风败俗	有伤风化,移风易俗
贼去关门	亡羊补牢
超然物外	超然象外
别史	外史,野史
皇历	黄历
不甘寂寞	不甘示弱
蓬头垢面	囚首垢面,不修边幅,披头散发
